hole_diameter(um),pitch(um),fiber_diameter(um),elips_semi_major_a,elips_semi_minor_b,pml(um),wevelength(um),real_effective_mode_index_x,real_effective_mode_index_y,birefringence,conf_x,conf_y,effective_area_x,effective_area_y,,,,,,,,,Confinement loss visualisation,,,,,,
0.6,1,12,0.2,0.1,2.5,0.6,1.3885,1.3921,0.0036,0.0088444,0.81452,0,0,,,,,,,,,wavelength(um),d(.68) Λ(1.1),d(.72) Λ(.1),d(.73) Λ(1.25) ,d(.75) Λ(1.25),d(.8) Λ(1.2),d(.85) Λ (1.2)
0.6,1,12,0.2,0.1,2.5,0.7,1.3791,1.383,0.0039,0.17274,0.013785,0,0,,,,,,,,,0.6,0.0078272,4.81E-07,5.92E-04,2.22E-04,8.13E-05,3.74E-07
0.6,1,12,0.2,0.1,2.5,0.8,1.3704,1.3742,0.0038,0.067339,0.024927,0,0,,,,,,,,,0.7,10.099,1.14E-05,0.005053,0.0017474,1.59E-04,1.49E-05
0.6,1,12,0.2,0.1,2.5,0.9,1.3983,1.4017,0.0034,0.14173,0.092828,0,0,,,,,,,,,0.8,0.11677,3.16E-04,0.88327,2.8748,4.93E-04,8.00E-06
0.6,1,12,0.2,0.1,2.5,1,1.3885,1.3921,0.0036,0.57,1.16,0,0,,,,,,,,,0.9,0.1632,0.02468,0.047771,0.024601,0.0018141,1.76E-04
0.6,1,12,0.2,0.1,2.5,1.1,1.3791,1.383,0.0039,13.205,23.824,0,0,,,,,,,,,1,0.58174,0.34584,0.065458,0.033753,0.010832,0.0086613
0.6,1,12,0.2,0.1,2.5,1.2,1.3704,1.3742,0.0038,26.625,5.7299,0,0,,,,,,,,,1.1,21.322,0.20211,0.13877,0.074951,2.3659,0.17898
0.6,1,12,0.2,0.1,2.5,1.3,1.3622,1.3659,0.0037,13.471,6.921,0,0,,,,,,,,,1.2,13.585,0.36321,0.33143,0.18917,0.21057,0.067639
0.6,1,12,0.2,0.1,2.5,1.4,1.3546,1.3581,0.0035,15.696,10.34,0,0,,,,,,,,,1.3,8.723,0.77808,0.80459,0.48618,0.25832,0.10416
0.6,1,12,0.2,0.1,2.5,1.5,1.3475,1.3508,0.0033,21.234,15.646,0,0,,,,,,,,,1.4,11.229,1.6859,1.8985,1.214,0.51989,0.20591
0.6,1,12,0.2,0.1,2.5,1.6,1.3409,1.344,0.0031,27.917,22.706,0,0,,,,,,,,,1.5,16.475,3.3279,4.2601,2.8779,1.326,0.428
0.6,1,12,0.2,0.1,2.5,1.7,1.3346,1.3375,0.0029,36.139,31.301,0,0,,,,,,,,,1.6,24.436,6.1154,8.9841,6.3979,6.6334,0.89451
0.6,1,12,0.2,0.1,2.5,1.8,1.3286,1.3314,0.0028,45.224,41.017,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.2,0.1,2.5,1.9,1.3226,1.3251,0.0025,54.475,51.314,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.2,0.1,2.5,2,1.3166,1.3189,0.0023,63.372,61.51,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.25,0.15,2.5,0.6,1.4222,1.4238,0.0016,0.072279,0.029782,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.25,0.15,2.5,0.7,1.41,1.4121,0.0021,0.18369,0.093935,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.25,0.15,2.5,0.8,1.3982,1.4008,0.0026,0.84005,1.5915,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.25,0.15,2.5,0.9,1.3875,1.3901,0.0026,1.323,2.52,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.25,0.15,2.5,1,1.3767,1.3801,0.0034,5.0286,1.9409,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.25,0.15,2.5,1.1,1.3673,1.3708,0.0035,6.2123,3.7761,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.25,0.15,2.5,1.2,1.3588,1.3622,0.0034,15.611,23.479,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.25,0.15,2.5,1.3,1.3516,1.3547,0.0031,134.45,206.45,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.25,0.15,2.5,1.4,1.3443,1.3474,0.0031,95.345,47.215,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.25,0.15,2.5,1.5,1.3379,1.3409,0.003,60.121,41.506,0,0,,,,,,,,,,,,,,,
0.6,1,12,0.25,0.15,2.5,1.6,1.3319,1.3348,0.0029,58.322,45.18,0,0,,,,,,,,,,,,,,,
0.6,1.2,13.5,0.2,0.1,2.5,0.6,1.4483,1.449,0.0007,0.88895,0.49958,0,0,,,,,,,,,,,,,,,
0.6,1.2,13.5,0.2,0.1,2.5,0.7,1.4418,1.4428,0.001,0.37429,0.10768,0,0,,,,,,,,,,,,,,,
0.6,1.2,13.5,0.2,0.1,2.5,0.8,1.4351,1.4365,0.0014,0.30535,0.14772,0,0,,,,,,,,,,,,,,,
0.6,1.2,13.5,0.2,0.1,2.5,0.9,1.4302,1.4302,0,0.30171,0.30171,0,0,,,,,,,,,,,,,,,
0.6,1.2,13.5,0.2,0.1,2.5,1,1.4221,1.4239,0.0018,1.0897,1.143,0,0,,,,,,,,,,,,,,,
0.6,1.2,13.5,0.2,0.1,2.5,1.1,1.4159,1.4178,0.0019,5.8373,52.728,0,0,,,,,,,,,,,,,,,
0.6,1.2,13.5,0.2,0.1,2.5,1.2,1.4119,1.4119,0,10.103,20.103,0,0,,,,,,,,,,,,,,,
0.6,1.2,13.5,0.2,0.1,2.5,1.3,1.4042,1.4063,0.0021,25.9,11.534,0,0,,,,,,,,,,,,,,,
0.6,1.2,13.5,0.2,0.1,2.5,1.4,1.3988,1.4008,0.002,19.744,12.494,0,0,,,,,,,,,,,,,,,
0.6,1.2,13.5,0.2,0.1,2.5,1.5,1.3937,1.3957,0.002,21.343,15.496,0,0,,,,,,,,,,,,,,,
0.6,1.2,13.5,0.2,0.1,2.5,1.6,1.3889,1.3908,0.0019,25.006,19.62,0,0,,,,,,,,,,,,,,,
0.6,1.1,12.5,0.2,0.1,2.5,0.7,1.4325,1.4341,0.0016,0.10623,0.45566,0,0,,,,,,,,,,,,,,,
0.6,1.1,12.5,0.2,0.1,2.5,0.8,1.4243,1.4262,0.0019,26.986,0.60697,0,0,,,,,,,,,,,,,,,
0.6,1.1,12.5,0.2,0.1,2.5,0.9,1.4162,1.4184,0.0022,1.668,0.45612,0,0,,,,,,,,,,,,,,,
0.6,1.1,12.5,0.2,0.1,2.5,1,1.4082,1.4108,0.0026,1.6266,0.81081,0,0,,,,,,,,,Birefringence visualisation,,,,,,
0.6,1.1,12.5,0.2,0.1,2.5,1.1,1.4006,1.4033,0.0027,2.7171,1.7253,0,0,,,,,,,,,wavelength(um),d(.68) Λ(1.1),d(.72) Λ(.1),d(.73) Λ(1.25) ,d(.75) Λ(1.25),d(.8) Λ(1.2),d(.85) Λ (1.2)
0.6,1.1,12.5,0.2,0.1,2.5,1.2,1.3934,1.3962,0.0028,5.0632,3.7465,0,0,,,,,,,,,0.6,0.0013,2.20E-03,9.00E-04,9.00E-04,1.10E-03,1.50E-03
0.6,1.1,12.5,0.2,0.1,2.5,1.3,1.3865,1.3893,0.0028,9.4042,7.8407,0,0,,,,,,,,,0.7,0.0018,2.20E-03,1.30E-03,1.40E-03,1.70E-03,2.10E-03
0.6,1.1,12.5,0.2,0.1,2.5,1.4,1.38,1.3827,0.0027,16.771,15.444,0,0,,,,,,,,,0.8,0.0024,2.80E-03,1.60E-03,1.70E-03,2.30E-03,2.60E-03
0.6,1.1,12.5,0.2,0.1,2.5,1.5,1.3739,1.3764,0.0025,28.291,28.266,0,0,,,,,,,,,0.9,0.0028,3.20E-03,2.00E-03,2.10E-03,2.70E-03,3.10E-03
0.6,1.1,12.5,0.2,0.1,2.5,1.6,1.3679,1.3703,0.0024,44.76,47.562,0,0,,,,,,,,,1,0.0033,3.70E-03,2.30E-03,2.40E-03,3.30E-03,3.60E-03
0.6,1.1,12.5,0.2,0.1,2.5,1.7,1.3621,1.3643,0.0022,65.863,72.774,0,0,,,,,,,,,1.1,0.0036,3.90E-03,2.60E-03,2.70E-03,3.60E-03,3.90E-03
0.65,1.1,12.5,0.25,0.15,2.5,0.7,1.4216,1.4232,0.0016,0.94512,0.10023,0,0,,,,,,,,,1.2,0.0036,4.20E-03,2.80E-03,2.90E-03,3.90E-03,4.20E-03
0.65,1.1,12.5,0.25,0.15,2.5,0.8,1.4113,1.4134,0.0021,0.29642,0.1106,0,0,,,,,,,,,1.3,0.0036,4.30E-03,2.90E-03,3.00E-03,4.10E-03,4.30E-03
0.65,1.1,12.5,0.25,0.15,2.5,0.9,1.4012,1.4037,0.0025,0.49122,0.33942,0,0,,,,,,,,,1.4,0.0036,4.10E-03,2.90E-03,3.10E-03,4.20E-03,4.40E-03
0.65,1.1,12.5,0.25,0.15,2.5,1,1.3917,1.3945,0.0028,2.1997,8.5484,0,0,,,,,,,,,1.5,0.0035,4.10E-03,2.90E-03,3.10E-03,4.20E-03,4.40E-03
0.65,1.1,12.5,0.25,0.15,2.5,1.1,1.3858,1.3858,0,6.245,10.001,0,0,,,,,,,,,1.6,0.0034,3.90E-03,2.80E-03,3.00E-03,4.10E-03,4.40E-03
0.65,1.1,12.5,0.25,0.15,2.5,1.2,1.3743,1.3775,0.0032,16.275,5.954,0,0,,,,,,,,,,,,,,,
0.65,1.1,12.5,0.25,0.15,2.5,1.3,1.3666,1.3698,0.0032,13.665,7.9042,0,0,,,,,,,,,,,,,,,
0.65,1.1,12.5,0.25,0.15,2.5,1.4,1.3594,1.3626,0.0032,17.448,12.182,0,0,,,,,,,,,,,,,,,
0.65,1.1,12.5,0.25,0.15,2.5,1.5,1.3528,1.3558,0.003,24.266,19.04,0,0,,,,,,,,,,,,,,,
0.65,1.1,12.5,0.25,0.15,2.5,1.6,1.3466,1.3495,0.0029,33.896,29.016,0,0,,,,,,,,,,,,,,,
0.65,1.25,13.5,0.2,0.1,2.5,0.6,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
0.65,1.25,13.5,0.2,0.1,2.5,0.7,1.4429,1.4439,0.001,0.53275,0.81981,0,0,,,,,,,,,,,,,,,
0.65,1.25,13.5,0.2,0.1,2.5,0.8,1.4363,1.4377,0.0014,0.99088,0.16029,0,0,,,,,,,,,,,,,,,
0.65,1.25,13.5,0.2,0.1,2.5,0.9,1.4432,1.4298,0.0134,0.49668,0.21145,0,0,,,,,,,,,,,,,,,
0.65,1.25,13.5,0.2,0.1,2.5,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
0.65,1.25,13.5,0.2,0.1,2.5,1.1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
0.65,1.25,13.5,0.2,0.1,2.5,1.2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
0.65,1.25,13.5,0.2,0.1,2.5,1.3,1.4046,1.4068,0.0022,4.8543,4.1765,0,0,,,,,,,,,,,,,,,
0.65,1.25,13.5,0.2,0.1,2.5,1.4,1.3988,1.3988,0,9.2153,8.691,0,0,,,,,,,,,,,,,,,
0.65,1.25,13.5,0.2,0.1,2.5,1.5,1.3954,1.3954,0,16.721,17.069,0,0,,,,,,,,,,,,,,,
0.65,1.25,13.5,0.2,0.1,2.5,1.6,1.3879,1.39,0.0021,28.709,31.238,0,0,,,,,,,,,,,,,,,
0.67,1.1,12.5,0.25,0.15,2.5,0.7,1.4312,1.4324,0.0012,0.040365,0.32016,0,0,,,,,,,,,,,,,,,
0.67,1.1,12.5,0.25,0.15,2.5,0.8,1.4206,1.4223,0.0017,1.1444,0.074075,0,0,,,,,,,,,,,,,,,
0.67,1.1,12.5,0.25,0.15,2.5,0.9,1.41,1.4122,0.0022,0.21687,0.074653,0,0,,,,,,,,,,,,,,,
0.67,1.1,12.5,0.25,0.15,2.5,1,1.3998,1.4024,0.0026,0.34089,0.21987,0,0,,,,,,,,,,,,,,,
0.67,1.1,12.5,0.25,0.15,2.5,1.1,1.39,1.393,0.003,1.3878,4.1294,0,0,,,,,,,,,,,,,,,
0.67,1.1,12.5,0.25,0.15,2.5,1.2,1.3807,1.384,0.0033,216.25,9.5278,0,0,,,,,,,,,,,,,,,
0.67,1.1,12.5,0.25,0.15,2.5,1.3,1.3722,1.3755,0.0033,15.21,4.9317,0,0,,,,,,,,,,,,,,,
0.67,1.1,12.5,0.25,0.15,2.5,1.4,1.3642,1.3676,0.0034,11.839,6.5594,0,0,,,,,,,,,,,,,,,
0.67,1.1,12.5,0.25,0.15,2.5,1.5,1.3569,1.3601,0.0032,15.167,10.331,0,0,,,,,,,,,,,,,,,
0.67,1.1,12.5,0.25,0.15,2.5,1.6,1.35,1.3532,0.0032,21.465,16.559,0,0,,,,,,,,,,,,,,,
0.66,1.1,13,0.2,0.1,2.5,0.6,1.4371,1.4384,0.0013,1.95E-02,3.11E-03,0,0,,,,,,,,,,,,,,,
0.66,1.1,13,0.2,0.1,2.5,0.7,1.4279,1.4297,0.0018,1.41E-02,4.21E-03,0,0,,,,,,,,,,,,,,,
0.66,1.1,13,0.2,0.1,2.5,0.8,1.4186,1.421,0.0024,2.46E-02,9.38E-03,0,0,,,,,,,,,,,,,,,
0.66,1.1,13,0.2,0.1,2.5,0.9,1.4095,1.4122,0.0027,5.89E-02,5.33E-02,0,0,,,,,,,,,,,,,,,
0.66,1.1,13,0.2,0.1,2.5,1,1.4005,1.4036,0.0031,1.74E+00,1.20E-01,0,0,,,,,,,,,,,,,,,
0.66,1.1,13,0.2,0.1,2.5,1.1,1.3917,1.395,0.0033,4.40E-01,1.79E-01,0,0,,,,,,,,,,,,,,,
0.66,1.1,13,0.2,0.1,2.5,1.2,1.3832,1.3867,0.0035,7.48E-01,3.94E-01,0,0,,,,,,,,,,,,,,,
0.66,1.1,13,0.2,0.1,2.5,1.3,1.3751,1.3786,0.0035,1.48E+00,9.31E-01,0,0,,,,,,,,,,,,,,,
0.66,1.1,13,0.2,0.1,2.5,1.4,1.3675,1.3709,0.0034,3.27E+00,3.23E+00,0,0,,,,,,,,,,,,,,,
0.66,1.1,13,0.2,0.1,2.5,1.5,1.3603,1.3635,0.0032,1.58E+01,8.11E+01,0,0,,,,,,,,,Effective refractive index visualisation,,,,,,
0.66,1.1,13,0.2,0.1,2.5,1.6,1.3539,1.3568,0.0029,8.05E+02,7.40E+01,0,0,,,,,,,,,wavelength(um),d(.68) Λ(1.1),d(.72) Λ(.1),d(.73) Λ(1.25) ,d(.75) Λ(1.25),d(.8) Λ(1.2),d(.85) Λ (1.2)
0.66,1.2,13.5,0.2,0.1,2.5,0.6,1.4456,1.4465,0.0009,7.08E-03,1.99E-02,0,0,,,,,,,,,0.6,1.4287,1.42E+00,1.45E+00,1.45E+00,1.43E+00,1.44E+00
0.66,1.2,13.5,0.2,0.1,2.5,0.7,1.4384,1.4396,0.0012,5.10E-02,2.61E-02,0,0,,,,,,,,,0.7,1.4174,1.42E+00,1.44E+00,1.44E+00,1.42E+00,1.43E+00
0.66,1.2,13.5,0.2,0.1,2.5,0.8,1.431,1.4326,0.0016,6.41E-02,2.08E-02,0,0,,,,,,,,,0.8,1.4063,1.41E+00,1.43E+00,1.43E+00,1.41E+00,1.42E+00
0.66,1.2,13.5,0.2,0.1,2.5,0.9,1.4236,1.4256,0.002,8.01E-02,4.00E-02,0,0,,,,,,,,,0.9,1.3954,1.40E+00,1.42E+00,1.42E+00,1.40E+00,1.41E+00
0.66,1.2,13.5,0.2,0.1,2.5,1,1.4163,1.4185,0.0022,1.63E-01,1.11E-01,0,0,,,,,,,,,1,1.3849,1.39E+00,1.42E+00,1.41E+00,1.39E+00,1.40E+00
0.66,1.2,13.5,0.2,0.1,2.5,1.1,0,0,0,0.00E+00,0.00E+00,0,0,,,,,,,,,1.1,1.375,1.38E+00,1.41E+00,1.41E+00,1.38E+00,1.39E+00
0.66,1.2,13.5,0.2,0.1,2.5,1.2,0,0,0,0.00E+00,0.00E+00,0,0,,,,,,,,,1.2,1.3657,1.37E+00,1.40E+00,1.40E+00,1.37E+00,1.38E+00
0.66,1.2,13.5,0.2,0.1,2.5,1.3,0,0,0,0.00E+00,0.00E+00,0,0,,,,,,,,,1.3,1.3571,1.36E+00,1.39E+00,1.39E+00,1.36E+00,1.37E+00
0.66,1.2,13.5,0.2,0.1,2.5,1.4,0,0,0,0.00E+00,0.00E+00,0,0,,,,,,,,,1.4,1.349,1.35E+00,1.39E+00,1.38E+00,1.35E+00,1.36E+00
0.66,1.2,13.5,0.2,0.1,2.5,1.5,0,0,0,0.00E+00,0.00E+00,0,0,,,,,,,,,1.5,1.3416,1.35E+00,1.38E+00,1.38E+00,1.34E+00,1.35E+00
0.66,1.2,13.5,0.2,0.1,2.5,1.6,0,0,0,0.00E+00,0.00E+00,0,0,,,,,,,,,1.6,1.3347,1.34E+00,1.37E+00,1.37E+00,1.34E+00,1.34E+00
0.66,1,12,0.2,0.1,2.5,0.6,1.4241,1.4263,0.0022,7.93E-05,1.44E-04,0,0,,,,,,,,,,,,,,,
0.66,1,12,0.2,0.1,2.5,0.7,1.4123,1.4151,0.0028,0.0071841,0.0020426,0,0,,,,,,,,,,,,,,,
0.66,1,12,0.2,0.1,2.5,0.8,1.4005,1.404,0.0035,0.0092056,0.0018315,0,0,,,,,,,,,,,,,,,
0.66,1,12,0.2,0.1,2.5,0.9,1.3889,1.393,0.0041,0.014532,0.0067105,0,0,,,,,,,,,,,,,,,
0.66,1,12,0.2,0.1,2.5,1,1.3777,1.3822,0.0045,0.051458,0.047423,0,0,,,,,,,,,,,,,,,
0.66,1,12,0.2,0.1,2.5,1.1,1.3668,1.3715,0.0047,0.35612,2.6494,0,0,,,,,,,,,fixes,,,,,,
0.66,1,12,0.2,0.1,2.5,1.2,1.3564,1.3612,0.0048,56.782,3.4029,0,0,,,,,,,,,,,,,,,
0.66,1,12,0.2,0.1,2.5,1.3,1.3466,1.3514,0.0048,9.1572,2.6523,0,0,,,,,,,,,Confinement loss visualisation,,,,,,
0.66,1,12,0.2,0.1,2.5,1.4,1.3374,1.342,0.0046,7.6563,4.0781,0,0,,,,,,,,,wavelength(um),d(.74) Λ(1),d(.74) Λ(1.1),d(.74) Λ(1.25) ,d(.79) Λ(1),d(.79) Λ(1.1),d(.79) Λ(1.25)
0.66,1,12,0.2,0.1,2.5,1.5,1.3288,1.3331,0.0043,10.503,6.9792,0,0,,,,,,,,,0.6,7.37E-07,0.000074963,3.62E-04,1.69E-06,1.36E-06,2.06E-04
0.66,1,12,0.2,0.1,2.5,1.6,1.3209,1.3249,0.004,15.485,11.62,0,0,,,,,,,,,0.7,3.90E-06,0.0035552,0.0029689,0.000071854,0.000046769,0.14929
0.66,1,12,0.2,0.1,2.5,1.7,1.3134,1.3171,0.0037,22.345,18.204,0,0,,,,,,,,,0.8,6.81E-05,0.022647,1.2934,0.0002503,0.027691,0.0058258
0.67,1,12,0.2,0.1,2.5,0.6,1.4232,1.4254,0.0022,3.63E-05,5.66E-05,0,0,,,,,,,,,0.9,0.0017012,0.026172,0.034421,0.078446,0.0022815,0.0082462
0.67,1,12,0.2,0.1,2.5,0.7,1.4111,1.414,0.0029,0.0022643,0.0017115,0,0,,,,,,,,,1,0.081027,0.049835,0.0472,0.0011223,0.0064454,0.020422
0.67,1,12,0.2,0.1,2.5,0.8,1.3991,1.4027,0.0036,0.0069821,0.0011692,0,0,,,,,,,,,1.1,3.4499,0.55015,0.10228,0.0060143,0.057785,0.058125
0.67,1,12,0.2,0.1,2.5,0.9,1.3873,1.3915,0.0042,0.009798,0.0043057,0,0,,,,,,,,,1.2,1.1264,1.108,0.25104,0.20246,1.482,0.16842
0.67,1,12,0.2,0.1,2.5,1,1.3758,1.3804,0.0046,0.03473,0.029676,0,0,,,,,,,,,1.3,1.5296,3.0114,0.62699,0.074572,1.0391,0.4723
0.67,1,12,0.2,0.1,2.5,1.1,1.3647,1.3696,0.0049,0.22598,1.1562,0,0,,,,,,,,,1.4,2.6763,3.8921,1.5216,0.17301,1.3746,1.2516
0.67,1,12,0.2,0.1,2.5,1.2,1.3541,1.359,0.0049,15.59,3.3626,0,0,,,,,,,,,1.5,4.893,6.4655,3.5091,0.42747,2.5803,3.0977
0.67,1,12,0.2,0.1,2.5,1.3,1.344,1.3489,0.0049,9.1094,2.2361,0,0,,,,,,,,,1.6,8.2478,11.042,7.5979,1.1112,5.0416,7.107
0.67,1,12,0.2,0.1,2.5,1.4,1.3345,1.3392,0.0047,6.7702,3.4469,0,0,,,,,,,,,,,,,,,
0.67,1,12,0.2,0.1,2.5,1.5,1.3256,1.3301,0.0045,9.2565,6.0132,0,0,,,,,,,,,Effective refractive index visualisation,,,,,,
0.67,1,12,0.2,0.1,2.5,1.6,1.3174,1.3216,0.0042,13.852,10.245,0,0,,,,,,,,,wavelength(um),d(.74) Λ(1),d(.74) Λ(1.1),d(.74) Λ(1.25) ,d(.79) Λ(1),d(.79) Λ(1.1),d(.79) Λ (1.25)
0.67,1,12,0.2,0.1,2.5,1.7,1.3098,1.3136,0.0038,20.359,16.414,0,0,,,,,,,,,0.6,1.4186,1.4259,1.4465,1.4132,1.4213,1.437
0.68,1.1,12.5,0.25,0.15,2.5,0.6,1.4295,1.4308,0.0013,0.0078272,0.025536,0,0,,,,,,,,,0.7,1.4059,1.4142,1.4396,1.3993,1.4087,1.4293
0.68,1.1,12.5,0.25,0.15,2.5,0.7,1.4185,1.4203,0.0018,10.099,0.042036,0,0,,,,,,,,,0.8,1.3931,1.4026,1.4324,1.3855,1.3961,1.4215
0.68,1.1,12.5,0.25,0.15,2.5,0.8,1.4075,1.4099,0.0024,0.11677,0.033571,0,0,,,,,,,,,0.9,1.3804,1.3913,1.4252,1.3717,1.3838,1.4136
0.68,1.1,12.5,0.25,0.15,2.5,0.9,1.3969,1.3997,0.0028,0.1632,0.092886,0,0,,,,,,,,,1,1.3678,1.3803,1.4179,1.3579,1.3719,1.4057
0.68,1.1,12.5,0.25,0.15,2.5,1,1.3866,1.3899,0.0033,0.58174,1.1952,0,0,,,,,,,,,1.1,1.3553,1.3697,1.4105,1.3442,1.3603,1.3977
0.68,1.1,12.5,0.25,0.15,2.5,1.1,1.3769,1.3805,0.0036,21.322,9.1195,0,0,,,,,,,,,1.2,1.343,1.3595,1.4032,1.3307,1.349,1.3898
0.68,1.1,12.5,0.25,0.15,2.5,1.2,1.3679,1.3715,0.0036,13.585,3.3086,0,0,,,,,,,,,1.3,1.331,1.3497,1.396,1.3174,1.3382,1.3819
0.68,1.1,12.5,0.25,0.15,2.5,1.3,1.3595,1.3631,0.0036,8.723,4.4134,0,0,,,,,,,,,1.4,1.3195,1.3405,1.3888,1.3044,1.3279,1.3742
0.68,1.1,12.5,0.25,0.15,2.5,1.4,1.3517,1.3553,0.0036,11.229,7.2765,0,0,,,,,,,,,1.5,1.3084,1.3319,1.3819,1.2919,1.3181,1.3667
0.68,1.1,12.5,0.25,0.15,2.5,1.5,1.3444,1.3479,0.0035,16.475,12.283,0,0,,,,,,,,,1.6,1.298,1.3238,1.3751,1.28,1.3089,1.3593
0.68,1.1,12.5,0.25,0.15,2.5,1.6,1.3377,1.3411,0.0034,24.436,20.15,0,0,,,,,,,,,,,,,,,
0.68,1,12.5,0.2,0.1,2.5,0.6,1.4222,1.4245,0.0023,2.86E-05,9.27E-04,0,0,,,,,,,,,Birefringence visualisation,,,,,,
0.68,1,12.5,0.2,0.1,2.5,0.7,1.4099,1.4129,0.003,2.15E-04,1.82E-04,0,0,,,,,,,,,wavelength(um),d(.74) Λ(1),d(.74) Λ(1.1),d(.74) Λ(1.25) ,d(.79) Λ(1),d(.79) Λ.(1.1),d(.79) Λ (1.25)
0.68,1,12.5,0.2,0.1,2.5,0.8,1.3976,1.4014,0.0038,0.0031267,0.0056063,0,0,,,,,,,,,0.6,0.0028,0.0017,0.0009,0.0033,0.002,0.0015
0.68,1,12.5,0.2,0.1,2.5,0.9,1.3856,1.39,0.0044,0.088004,3.8972,0,0,,,,,,,,,0.7,0.0037,0.0023,0.0013,0.0043,0.0027,0.0019
0.68,1,12.5,0.2,0.1,2.5,1,1.3739,1.3787,0.0048,0.3151,0.41545,0,0,,,,,,,,,0.8,0.0045,0.0029,0.0017,0.0052,0.0034,0.0023
0.68,1,12.5,0.2,0.1,2.5,1.1,1.3626,1.3676,0.005,2.6887,0.4726,0,0,,,,,,,,,0.9,0.0052,0.0033,0.0021,0.006,0.0041,0.0026
